Price,Close,High,Low,Open,Volume
Ticker,3548.TWO,3548.TWO,3548.TWO,3548.TWO,3548.TWO
2024-05-28,186.96054077148438,191.15666227049286,186.02806284543985,186.02806284543985,2400550
2024-05-29,185.56182861328125,189.75794988947797,184.6293507367508,187.89299413641706,1358125
2024-05-30,179.96697998046875,184.62933992182636,179.96697998046875,184.62933992182636,1369400
2024-05-31,179.96697998046875,187.42675880345982,179.96697998046875,180.89945780237798,1991575
2024-06-03,184.6293487548828,186.02805097056924,180.43322752372853,182.29816867267544,1417575
2024-06-04,182.2981719970703,191.62289249594568,180.8994697558771,184.62935212178914,3742275
2024-06-05,180.8994598388672,185.56181983271168,179.0345187581483,184.16310308410166,1335575
2024-06-06,178.10205078125,183.69687433300354,177.6358118392467,183.69687433300354,1651275
2024-06-07,180.4332275390625,180.8994664723626,176.70334524085172,179.9669886057624,1279200
2024-06-11,184.16310119628906,189.75793896518888,177.6358001886355,178.10203910005953,4649400
2024-06-12,180.8994598388672,187.4267609134306,179.50074309025717,187.4267609134306,1984400
2024-06-13,188.82546997070312,193.95406906796188,181.36570537552134,181.83192972464894,6560000
2024-06-14,189.2917022705078,195.3527644377168,188.82546335362377,190.2241655201814,3997500
2024-06-17,186.02806091308594,191.15666028486595,185.56183653900248,189.75795799442403,1729175
2024-06-18,185.56182861328125,193.9540711656747,185.56182861328125,189.75794988947797,2423100
2024-06-19,182.2981719970703,187.89299554593836,181.83193305530747,186.49429330474516,1472925
2024-06-20,182.2981719970703,183.69687423826352,181.36570869763995,181.83193305530747,765675
2024-06-21,181.36570739746094,184.62935079821366,179.50075164377918,179.50075164377918,904050
2024-06-24,178.10205078125,182.29817209108896,178.10205078125,181.83193314908567,931725
2024-06-25,177.16958618164062,179.50075170636526,174.3721671342378,178.10204947471144,1089575
2024-06-26,173.9059295654297,179.96699206246328,173.43969062317433,178.56828981979254,2110475
2024-06-27,171.10850524902344,174.8384020885952,170.64228090515994,174.3721631606369,1385800
2024-06-28,179.03453063964844,179.03453063964844,172.04099018476035,172.04099018476035,1709700
2024-07-01,176.70333862304688,179.96698186572922,175.77086079136936,179.96698186572922,961450
2024-07-02,175.77085876464844,180.4332187010878,174.83839552781714,179.03451655379374,988100
2024-07-03,173.43968200683594,178.10204202957664,173.43968200683594,177.16957877548523,757475
2024-07-04,175.3046417236328,176.23711966088604,173.4397004332224,174.8384173391023,734925
2024-07-05,179.03453063964844,179.96699394984293,175.77087259372917,175.77087259372917,1211550
2024-07-08,173.9059295654297,180.43323100471864,173.9059295654297,180.43323100471864,1064975
2024-07-09,173.9059295654297,179.0345287620479,173.43969062317433,173.9059295654297,1228975
2024-07-10,174.37216186523438,178.56828301749684,173.43968401624505,173.43968401624505,878425
2024-07-11,173.43968200683594,177.16957877548523,173.43968200683594,176.2371009372993,634475
2024-07-12,172.9734649658203,175.77086943015067,172.50722602706688,172.9734649658203,745175
2024-07-15,172.50721740722656,174.83839740041424,172.50721740722656,172.97345632268298,485850
2024-07-16,172.9734649658203,174.37216719798548,171.10850921080652,171.10850921080652,582200
2024-07-17,180.8994598388672,184.16310308410166,175.30462201261602,176.2370998450227,3727925
2024-07-18,176.2371063232422,178.56828640585522,174.83840410731239,177.16958418992542,1234100
2024-07-19,172.50721740722656,179.03451847133314,172.50721740722656,175.77086064723264,856900
2024-07-22,156.18896484375,172.97346450554508,155.25650155281951,171.57474769300666,3082175
2024-07-23,164.11497497558594,164.58119930612463,157.58767392300558,157.58767392300558,1630775
2024-07-26,160.38507080078125,167.84484933649563,157.12142771797065,163.18248957468586,1214625
2024-07-29,155.72274780273438,165.04745407038277,155.72274780273438,164.58121511097642,1042425
2024-07-30,160.5142059326172,165.30567789823985,157.16018454945922,157.6393347436141,1461650
2024-07-31,158.5976104736328,162.4307968051842,157.63932513171665,160.5141961454274,603725
2024-08-01,164.34738159179688,165.78481709091017,159.5559099441364,161.95164576796662,1250500
2024-08-02,154.28529357910156,162.43080166277775,152.8478580292588,160.035065754398,1159275
2024-08-05,138.9525909423828,145.66064840059104,138.9525909423828,145.66064840059104,1131600
2024-08-06,140.39004516601562,142.785781106306,126.01562952427345,140.86918036370338,2130975
2024-08-07,150.9312744140625,151.41042460004186,139.9108950763514,139.9108950763514,907125
2024-08-08,146.6189422607422,149.01467803183567,145.66064195712005,148.05637772821353,455100
2024-08-09,149.4938201904297,152.84785642207905,149.4938201904297,151.8895560736185,475600
2024-08-12,151.88955688476562,155.2435931343268,149.01468579995617,151.41042169593914,679575
2024-08-13,151.41041564941406,154.28528661941647,149.97296517645083,154.28528661941647,431525
2024-08-14,153.32701110839844,155.7227470620887,152.8478609200678,153.8061463087661,429475
2024-08-15,154.76443481445312,160.03505650588914,153.80613451129682,153.80613451129682,1084450
2024-08-16,156.20187377929688,159.07675976518576,155.24358844264202,158.59760960287724,590400
2024-08-19,158.1184844970703,159.0767698947461,156.20188372579256,156.20188372579256,416150
2024-08-20,159.07676696777344,162.90993846387332,157.6393314037267,160.03506733577984,713400
2024-08-21,156.6810302734375,159.55591637550697,155.7227448980562,159.0767661938349,386425
2024-08-22,155.72274780273438,158.59761897046573,155.2435976121248,156.68103319599047,356700
2024-08-23,156.6810302734375,157.16018045510953,154.28529435304006,154.7644445347121,309550
2024-08-26,154.28529357910156,159.55591557512952,154.28529357910156,158.11848002528677,254200
2024-08-27,156.6810302734375,156.6810302734375,153.32700897765875,154.28529435304006,198850
2024-08-28,154.76443481445312,157.6393207359602,154.28528466287497,157.6393207359602,262400
2024-08-29,154.76443481445312,156.20187028122575,153.3269993476805,154.76443481445312,210125
2024-08-30,170.09713745117188,170.09713745117188,156.20187276245363,156.20187276245363,3581350
2024-09-02,185.42984008789062,185.90899025343245,174.40946122024016,177.2843472255288,8938000
2024-09-03,183.0341033935547,192.1378965444944,180.63836756499362,185.4298392221158,7854575
2024-09-04,172.97203063964844,184.95069519169923,172.49288046045535,173.45116583087884,4650425
2024-09-05,165.78482055664062,183.51325703081997,165.78482055664062,175.8468992367056,4915900
2024-09-06,170.09713745117188,171.5345729407778,167.22225148399795,169.1388371327932,1920850
2024-09-09,178.72178649902344,185.9089941696647,171.05544364070946,171.05544364070946,7645475
2024-09-10,172.4928741455078,186.8672740793159,171.53457382220495,182.55495260037728,8945175
2024-09-11,174.4094696044922,177.284355747983,172.013733649577,174.88861979306782,2217075
2024-09-12,169.6179962158203,178.24263958313446,169.6179962158203,177.28435420230116,2766475
2024-09-13,169.1388397216797,176.80519742216623,168.65970454311864,170.5762902212497,2614775
2024-09-16,165.3056640625,170.09713562708646,164.82651390844896,169.61798547303545,1226925
2024-09-18,172.01373291015625,175.367769227805,163.3890895047208,165.78482544933763,3680775
2024-09-19,172.01373291015625,176.32605461287397,169.61799696553942,172.01373291015625,3647975
2024-09-20,170.5762939453125,176.32605110523576,170.5762939453125,174.8886155622456,1643075
2024-09-23,184.95069885253906,186.38814941857063,173.93031945277878,173.93031945277878,7483525
2024-09-24,186.86727905273438,186.86727905273438,179.68008638852635,185.90899369188915,4341900
2024-09-25,180.1592254638672,188.30473364067367,179.20094008233653,187.8255834559269,3274875
2024-09-26,175.36776733398438,182.0758249088777,175.36776733398438,179.20093880879122,2311375
2024-09-27,174.4094696044922,180.15922690351084,172.49288383815264,176.32605537083174,1633850
2024-09-30,167.70140075683594,174.40945798614635,167.70140075683594,172.97202250413767,1925975
2024-10-01,166.7431182861328,171.0554397939479,165.7848179564129,169.1388391345081,1169525
2024-10-04,164.82652282714844,167.22225873907402,163.86823745515585,167.22225873907402,762600
2024-10-07,171.05543518066406,171.53457034463972,164.82651318140026,165.30566333333775,958375
2024-10-08,163.3890838623047,170.09714127798577,161.95164834035958,169.13884093804745,1677925
2024-10-09,166.26397705078125,167.70141263459897,162.4308055019587,164.8265264790005,1037300
2024-10-11,165.78482055664062,168.1805564305537,162.4307993259398,166.26397072901574,1840900
2024-10-14,159.07676696777344,164.82652421192327,156.6810310357203,163.86823883187972,1907525
2024-10-15,159.07676696777344,164.34738901588292,158.59761678377026,158.59761678377026,932750
2024-10-16,160.03506469726562,161.47250023761322,157.63932880471123,157.63932880471123,474575
2024-10-17,158.5976104736328,161.951646640245,158.5976104736328,161.4724964753058,449975
2024-10-18,154.28529357910156,160.035065754398,154.28529357910156,159.07676539586106,836400
2024-10-21,158.1184844970703,158.59761970192665,154.76444813529736,156.20188372579256,508400
2024-10-22,158.1184844970703,159.0767698947461,156.20188372579256,159.0767698947461,318775
2024-10-23,157.16017150878906,162.43079323122657,157.16017150878906,159.0767571384131,750300
2024-10-24,149.9729766845703,157.6393348314299,146.61895529954393,156.68103444258625,1422700
2024-10-25,151.88955688476562,152.84785723834383,149.97297116557178,150.93127151915002,576050
2024-10-28,149.01467895507812,151.8895499078325,147.577228490739,151.8895499078325,633450
2024-10-29,144.22320556640625,148.05637678043308,143.26490526891865,147.5772266316893,944025
2024-10-30,144.22320556640625,145.66064102467587,142.7857701081366,144.70235571515002,559650
2024-11-01,142.78578186035156,143.74406724875064,139.9108957192284,139.9108957192284,668300
2024-11-04,141.34832763671875,143.26491335186515,139.9108920973496,143.26491335186515,459200
2024-11-05,142.78578186035156,144.22321743693166,140.39004590740942,141.3483312958085,415125
2024-11-06,141.34832763671875,144.22321370341962,141.34832763671875,143.7440635276424,363875
2024-11-07,144.22320556640625,144.70235571515002,140.86916951316144,140.86916951316144,349525
2024-11-08,142.30662536621094,145.18149639197847,141.82747519926224,144.7023612129921,395650
2024-11-11,137.0360107421875,142.30663288102525,136.07772534564805,142.30663288102525,1210525
2024-11-12,146.13980102539062,148.0563867616101,135.11942180115656,137.03600753737604,1831675
2024-11-13,144.22320556640625,153.3269984406913,143.26490526891865,143.74405541766245,1855250
2024-11-14,155.24359130859375,157.1601770052477,146.1397980085157,146.1397980085157,3229775
2024-11-15,151.41041564941406,156.6810224197265,149.49381501879643,153.80613646176207,1901375
2024-11-18,153.32701110839844,153.8061463087661,149.01468938934858,151.41042534303884,1036275
2024-11-19,153.80613708496094,156.20187289497812,151.8895514345396,154.2852872445568,1120325
2024-11-20,161.47250366210938,169.13884669050057,160.9933534758442,169.13884669050057,6069875
2024-11-21,177.2843475341797,177.2843475341797,161.47249695950725,161.47249695950725,10931625
2024-11-22,182.55496215820312,186.86728386291716,178.2426404534891,181.59667677269053,14619575
2024-11-25,183.99240112304688,189.74215803765634,180.15921485867858,184.95068644816746,7541950
2024-11-26,187.346435546875,190.22132170231396,182.5549636171311,183.5132639982651,6896200
2024-11-27,174.88861083984375,188.7838606814447,174.88861083984375,187.34642517726866,4122550
