Price,Close,High,Low,Open,Volume
Ticker,5274.TWO,5274.TWO,5274.TWO,5274.TWO,5274.TWO
2024-05-28,3819.526123046875,3863.8247507626247,3770.3054255849306,3775.227495331125,469000
2024-05-29,3755.5390625,3903.2011488368285,3696.4742279652687,3804.759757945609,431000
2024-05-30,3691.552001953125,3721.08441796875,3602.95475390625,3691.552001953125,268000
2024-05-31,3588.188720703125,3760.4611558534807,3573.4225119759517,3701.3963209447875,286000
2024-06-03,3760.461181640625,3819.5260169543517,3627.565302184739,3627.565302184739,413000
2024-06-04,3721.08447265625,3844.1362078631364,3691.552056206597,3780.1493055555557,491000
2024-06-05,4026.2529296875,4055.78534726467,3745.694962704386,3804.7597978587255,719000
2024-06-06,4232.97998046875,4395.408282044877,4144.38272506359,4183.759283021439,749000
2024-06-07,4223.1357421875,4296.9667866313375,4109.928140706949,4232.9798814466785,528000
2024-06-11,4641.51171875,4641.51171875,4252.668213149523,4292.044770678685,623000
2024-06-12,4602.13525390625,4995.900837128175,4518.460067471591,4995.900837128175,673000
2024-06-13,4602.13525390625,4700.576649711731,4567.680765374332,4616.901463277072,362000
2024-06-14,4666.12158203125,4680.887789569323,4538.1477833679455,4577.524336802809,423000
2024-06-17,4518.4599609375,4739.953096277573,4449.550985498366,4666.122051164216,455000
2024-06-18,4626.74560546875,4626.74560546875,4538.148349193816,4567.680767952127,347000
2024-06-19,4813.78369140625,4823.627829834483,4631.667130483927,4631.667130483927,446000
2024-06-20,4907.3037109375,4971.290619906595,4759.641613316512,4759.641613316512,378000
2024-06-21,4887.61474609375,4986.056130707924,4813.78370763312,4823.627846094537,283000
2024-06-24,4666.12158203125,4877.770556743638,4626.745028596387,4877.770556743638,354000
2024-06-25,4695.654296875,4784.251547759433,4547.99221206761,4769.4853392786945,334000
2024-06-26,4893.3662109375,4923.022975852273,4651.169297466856,4651.169297466856,408000
2024-06-27,4745.08251953125,4942.794291178386,4725.311342366536,4858.766788228353,226000
2024-06-28,4784.62451171875,4878.537596142982,4764.853336050491,4824.166863055269,252000
2024-07-01,4646.2265625,4834.05274268617,4646.2265625,4824.167154255319,234000
2024-07-02,4656.1123046875,4700.597454095342,4562.199211493166,4695.6546597166935,262000
2024-07-03,4636.3408203125,4804.395818063699,4616.5696441064765,4794.510229960687,164000
2024-07-04,4339.7734375,4730.254190988041,4250.803139236902,4730.254190988041,776000
2024-07-05,4443.57177734375,4488.056923056869,4334.830310045016,4364.487073853761,403000
2024-07-08,4562.19921875,4690.711872799296,4502.885686111864,4512.771274884886,518000
2024-07-09,4532.5419921875,4611.626694341262,4448.514496149128,4562.198755495161,310000
2024-07-10,4552.3134765625,4567.141859222313,4473.228769043499,4562.199065002375,193000
2024-07-11,4695.654296875,4705.539884868421,4512.77091899671,4562.198858963816,291000
2024-07-12,4473.228515625,4720.368212620857,4453.457339865332,4720.368212620857,269000
2024-07-15,4364.4873046875,4537.485102721545,4324.944950851146,4527.599514262457,343000
2024-07-16,4586.9130859375,4586.9130859375,4418.858080633756,4443.572052001953,305000
2024-07-17,4522.65673828125,4636.341006019467,4507.828355532787,4586.91306352459,220000
2024-07-18,4122.29052734375,4324.945097632831,4092.633760959982,4324.945097632831,781000
2024-07-19,4216.20361328125,4300.231117883573,3909.750361202191,3909.750361202191,679000
2024-07-22,3998.720458984375,4315.05928392257,3998.720458984375,4216.2034011293845,366000
2024-07-23,4082.748046875,4147.004372067948,4023.434515927663,4023.434515927663,342000
2024-07-26,3919.6357421875,3949.292506945539,3756.523536018285,3756.523536018285,609000
2024-07-29,4013.548828125,4072.86235760468,3850.4366220558804,4053.0911811114534,380000
2024-07-30,4053.09130859375,4097.576457102706,3914.6930687881095,3914.6930687881095,245000
2024-07-31,4033.320068359375,4092.6335987764246,3998.720508949429,4003.66330315085,194000
2024-08-01,4112.40478515625,4240.917434692383,4053.091254601112,4171.718315711388,474000
2024-08-02,3702.15283203125,4038.2628354733397,3702.15283203125,3954.235334612817,605000
2024-08-05,3603.296875,3702.1527563443074,3361.099965706447,3361.099965706447,1060000
2024-08-06,3781.237548828125,3934.46416845384,3514.326663028493,3756.523577920752,621000
2024-08-07,4156.8896484375,4156.8896484375,3751.5805507301575,3776.294520102557,1051000
2024-08-08,4142.0615234375,4176.661082702491,4018.491668919675,4156.889905979639,557000
2024-08-09,4132.17578125,4344.7159231085525,4122.290193256579,4339.773129111842,626000
2024-08-12,4265.63134765625,4295.288112529874,4107.461934996922,4181.603847180982,460000
2024-08-13,4161.83251953125,4320.001926449302,4151.946931598872,4270.573986787411,341000
2024-08-14,4448.5146484375,4473.228618706597,4255.745680338541,4290.345238715277,467000
2024-08-15,4458.400390625,4596.798628914911,4428.743625277161,4478.171567523558,606000
2024-08-16,4577.02734375,4626.455284827213,4527.599402672786,4557.256167319114,378000
2024-08-19,4695.654296875,4705.539884868421,4562.198858963816,4581.9700349506575,224000
2024-08-20,4715.42578125,4804.396079009434,4665.997838050314,4690.711809650157,298000
2024-08-21,4601.7412109375,4675.8831208881575,4572.084446957237,4675.8831208881575,280000
2024-08-22,4843.9384765625,4878.538037109375,4591.855964006696,4591.855964006696,481000
2024-08-23,5269.0185546875,5273.961348828858,4774.739140551712,4774.739140551712,811000
2024-08-26,4858.7666015625,5283.846894272952,4809.338660549656,5278.904100171668,549000
2024-08-27,4898.30908203125,5086.135262775132,4799.453197429207,4898.30908203125,484000
2024-08-28,4834.052734375,5066.364062100588,4735.196850236452,4927.965824306621,517000
2024-08-29,4829.10986328125,4908.194569332939,4764.853539614252,4779.681921998945,263000
2024-08-30,4873.59521484375,4942.794335541328,4794.510505475088,4873.59521484375,335000
2024-09-02,4735.19677734375,4967.508101493182,4735.19677734375,4967.508101493182,227000
2024-09-03,4814.28173828125,4868.652476598595,4764.8537943563915,4794.510560711306,170000
2024-09-04,4651.16943359375,4750.025319536231,4344.716187172057,4458.400456005911,511000
2024-09-05,4779.68212890625,4843.938455354834,4651.169476009081,4725.311391142063,469000
2024-09-06,4789.5673828125,4883.48046875,4769.7962068256575,4883.48046875,394000
2024-09-09,4502.88525390625,4700.597010389511,4468.28569652168,4695.654216477429,550000
2024-09-10,4423.80078125,4700.597254713687,4349.658868715083,4616.569753840782,614000
2024-09-11,4423.80078125,4537.485047136872,4344.71607454609,4497.942693784916,435000
2024-09-12,4656.1123046875,4690.711865338044,4547.370828357219,4606.684360901008,349000
2024-09-13,4685.76904296875,4824.167284744199,4626.455510779272,4725.311397761735,391000
2024-09-16,4221.14599609375,4621.51230251482,4221.14599609375,4621.51230251482,660000
2024-09-18,4176.6611328125,4250.803046412721,4087.6908364922338,4206.317898252589,436000
2024-09-19,4290.34521484375,4394.143889396421,4171.718158212126,4201.3749223700315,456000
2024-09-20,4206.31787109375,4418.858022042083,4181.603900053246,4379.315668377277,308000
2024-09-23,4127.23291015625,4290.345109000748,4127.23291015625,4206.31761262631,178000
2024-09-24,4092.633544921875,4231.031780740489,3998.7204563306727,4231.031780740489,478000
2024-09-25,4408.97216796875,4497.942458353769,4171.718060275364,4171.718060275364,698000
2024-09-26,4517.7138671875,4626.455338826587,4438.6291605408915,4438.6291605408915,679000
2024-09-27,4413.9150390625,4591.855622944079,4394.1438630756575,4586.912828947368,520000
2024-09-30,4255.74560546875,4364.487072739728,4235.9744296013,4359.544278772866,441000
2024-10-01,4324.94482421875,4354.601588727679,4250.8029129464285,4349.658794642857,302000
2024-10-04,4211.2607421875,4443.572074209581,4196.432359292474,4275.517068065948,483000
2024-10-07,4448.5146484375,4488.057000868055,4295.288032769097,4300.230826822916,615000
2024-10-08,4310.11669921875,4413.915381195348,4221.146400381665,4354.601848637292,469000
2024-10-09,4394.14404296875,4448.514779158464,4231.031834399606,4404.02963136688,469000
2024-10-11,4532.5419921875,4542.42757995672,4320.001855149264,4428.743320610687,354000
2024-10-14,4433.6865234375,4517.71402722617,4389.201374372909,4517.71402722617,366000
2024-10-15,4433.6865234375,4577.027559312291,4433.6865234375,4547.3707932692305,423000
2024-10-16,4245.8603515625,4359.544621744034,4235.974762851062,4359.544621744034,407000
2024-10-17,4285.40234375,4423.800573997982,4275.516755875145,4334.830283124279,485000
2024-10-18,4226.0888671875,4448.514597039473,4201.3748972039475,4394.1438630756575,429000
2024-10-21,4517.7138671875,4631.398132992,4250.802982255197,4300.230923909327,682000
2024-10-22,4636.3408203125,4740.139495394123,4428.743470149254,4428.743470149254,488000
2024-10-23,4596.79833984375,4720.368187689012,4586.912752016129,4656.111866809476,281000
2024-10-24,4572.08447265625,4710.482705342061,4572.08447265625,4665.997559121622,356000
2024-10-25,4527.599609375,4636.341084709334,4463.343283041076,4601.741524375682,181000
2024-10-28,4310.11669921875,4596.798773249355,4310.11669921875,4596.798773249355,331000
2024-10-29,3998.720458984375,4300.230901503593,3974.0064882860784,4300.230901503593,893000
2024-10-30,4151.947265625,4235.974769810268,4013.5490234375,4048.148583984375,813000
2024-11-01,4250.802734375,4300.2306731468025,4003.6630405159885,4023.4342160247093,752000
2024-11-04,4300.23095703125,4423.800812118355,4250.803014996408,4290.345368624282,467000
2024-11-05,3944.349609375,4275.516807154605,3924.578433388158,4231.03166118421,1175000
2024-11-06,4186.546875,4201.375258264463,3983.8923037190084,3998.7206869834713,721000
2024-11-07,4235.974609375,4285.4025511413365,4117.347549135794,4147.004314195596,463000
2024-11-08,4151.947265625,4324.945068359375,4122.290499441964,4305.173890904018,468000
2024-11-11,4221.14599609375,4221.14599609375,4058.033797181462,4181.6036448422865,231000
2024-11-12,4097.576171875,4245.859989916315,4062.976614332026,4201.37484450392,405000
2024-11-13,4018.49169921875,4142.061554668281,3974.006551256919,4142.061554668281,424000
2024-11-14,3974.006591796875,4082.7480657017645,3959.178208991663,4082.7480657017645,441000
2024-11-15,3969.063720703125,4008.6060740849744,3934.4641614940065,3983.8921032213184,367000
2024-11-18,3791.123046875,3934.4640747229464,3776.294664683833,3919.6356925317796,624000
2024-11-19,4107.4619140625,4117.347502303324,3865.2650021623044,3865.2650021623044,625000
2024-11-20,4062.976806640625,4181.603866688527,4058.0340124719623,4147.004307507888,419943
2024-11-21,4161.83251953125,4250.802810922654,4048.1482583089,4053.091052275089,585000
2024-11-22,4097.576171875,4231.031608112183,4092.6333779402894,4221.1460202427625,330000
2024-11-25,4072.8623046875,4231.0317145782765,4072.8623046875,4171.718185869236,388000
2024-11-26,4053.09130859375,4107.4620456602515,3988.8349829697027,4072.862485708841,271000
2024-11-27,3889.97900390625,4072.8623878256035,3889.97900390625,4053.0912111856737,391000
2024-11-28,3959.17822265625,3988.8349883690307,3815.837188377809,3904.8074855161517,329000
2024-11-29,4038.2626953125,4038.2626953125,3870.207699424342,3954.235197368421,310000
2024-12-02,4003.663330078125,4122.290391710069,3983.8921531394676,4077.8052435980903,290000
2024-12-03,4003.663330078125,4082.7480378327546,3885.03626844618,4053.0912724247682,495000
2024-12-04,4038.2626953125,4147.004163240132,4003.6631373355262,4003.6631373355262,432000
2024-12-05,4171.71826171875,4186.546644165617,4008.6060548032065,4082.747967037544,445000
2024-12-06,4033.320068359375,4053.0912451650584,3909.750213323855,4003.66330315085,849000
2024-12-09,3934.464111328125,4062.9767581805513,3934.464111328125,4023.4344053028817,684000
2024-12-10,3880.093505859375,3974.006597083997,3870.207917309415,3939.4070371591365,422000
2024-12-11,3870.207763671875,3919.6357044595106,3835.60820512053,3880.093351829402,412000
