代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
6491,,其他,其他,20,7.26,85.96,750004,243751300,325.0,高
6456,,其他,其他,20,24.21,59.48,31927481,2522270999,79.0,低
4542,,其他,其他,20,15.04,68.69,1261096,342387564,271.5,中
9962,,其他,其他,20,3.61,63.21,93000,906750,9.75,低
8923,,其他,其他,20,5.79,62.22,0,0,20.1,低
4167,,其他,其他,15,-0.78,58.49,1607047,30855303,19.2,低
4168,,其他,其他,15,7.0,78.41,498651,13712902,27.5,高
4569,,其他,其他,15,4.94,52.55,214410,38701005,180.5,低
4571,,其他,其他,15,3.56,58.95,1679696,366173728,218.0,低
4576,,其他,其他,15,15.43,58.96,5220828,1425286044,273.0,低
4127,,其他,其他,15,15.03,75.69,354558,23329917,65.8,高
4721,,其他,其他,15,8.0,45.27,1113336,100645576,90.4,低
4722,,其他,其他,15,14.14,66.67,962383,260324601,270.5,中
6515,,其他,其他,15,7.87,49.48,165430,1620386850,9795.0,低
9933,,其他,其他,15,1.55,61.33,6610677,260130129,39.35,低
4108,,其他,其他,15,4.58,57.14,292420,3669871,12.55,低
4741,,其他,其他,15,17.01,50.35,901100,56408858,62.6,低
4744,,其他,其他,15,1.34,64.86,200010,6830341,34.15,低
4749,,其他,其他,15,12.17,60.36,2386208,2660621920,1115.0,低
4767,,其他,其他,15,0.56,53.57,16000,427200,26.7,低
8481,,其他,其他,15,1.37,44.59,47000,1917599,40.8,低
1338,,其他,其他,15,0.94,55.71,468362,7540628,16.1,低
1309,,其他,其他,15,3.83,44.83,12985054,211007127,16.25,低
3702,,其他,其他,15,-1.62,60.53,10687201,1298494921,121.5,低
3712,,其他,其他,15,5.73,25.45,1452630,24113658,16.6,低
4908,,其他,其他,15,5.06,57.19,4508697,1170006871,259.5,低
4916,,其他,其他,15,10.57,86.23,3227920,320855252,99.4,高
8383,,其他,其他,15,9.65,37.83,1533000,92286601,60.2,低
8422,,其他,其他,15,6.23,40.0,6891192,188129536,27.3,低
8429,,其他,其他,15,4.47,39.29,727799,4592411,6.31,低
8446,,其他,其他,15,0.47,52.05,112150,9588825,85.5,低
1440,,其他,其他,15,4.39,43.14,3376118,40175802,11.9,低
1444,,其他,其他,15,1.01,50.57,2956756,17770104,6.01,低
1446,,其他,其他,15,2.25,52.27,292697,4653882,15.9,低
6412,,其他,其他,15,5.82,66.17,2525904,252590400,100.0,中
6414,,其他,其他,15,8.6,53.16,1583610,570099600,360.0,低
2477,,其他,其他,15,0.48,50.88,391147,8233644,21.05,低
2489,,其他,其他,15,2.56,60.7,70548779,3386341392,48.0,低
6527,,其他,其他,15,0.57,49.04,34050,2397120,70.4,低
6531,,其他,矽智財,15,11.0,59.65,6827229,7373407320,1080.0,低
6538,,其他,其他,15,15.49,78.6,661346,81345558,123.0,高
2542,,其他,其他,15,-3.78,60.31,13497623,566900166,42.0,低
6438,,其他,其他,15,6.85,46.58,963046,165162389,171.5,低
6441,,其他,其他,15,6.04,33.33,850632,21648585,25.45,低
2467,,其他,其他,15,5.47,60.36,2717026,1676405042,617.0,低
2476,,其他,其他,15,1.67,60.64,9126734,1113461548,122.0,低
6560,,其他,其他,15,4.55,53.51,79500,3108449,39.1,低
2618,,其他,其他,15,0.0,47.06,86205257,3043045506,35.3,低
6409,,其他,其他,15,5.84,35.84,1288512,910977984,707.0,低
8472,,其他,其他,15,-1.81,45.0,26001,1833070,70.5,低
3666,,其他,其他,15,4.25,46.09,154658,4361355,28.2,低
3673,,其他,其他,15,9.16,73.01,41472612,3359281572,81.0,中
4927,,其他,其他,15,22.85,50.76,18661550,1093566801,58.6,低
4930,,其他,其他,15,6.65,46.48,96890,1710108,17.65,低
4931,,其他,BBU,15,9.23,67.06,11450576,2370269232,207.0,中
4933,,其他,其他,15,3.03,58.62,1037205,77479210,74.7,低
4949,,其他,其他,15,16.84,53.49,3830430,390703860,102.0,低
6242,,其他,其他,15,1.47,52.83,24200,920809,38.05,低
6269,,其他,其他,15,8.28,43.33,3414712,214443910,62.8,低
2442,,其他,其他,15,0.0,50.91,2653160,49614094,18.7,低
2451,,其他,其他,15,2.71,53.29,8831807,2843841854,322.0,低
2636,,其他,其他,15,2.44,46.51,445570,29897746,67.1,低
2645,,其他,其他,15,0.92,50.0,1911787,313533068,164.0,低
1464,,其他,其他,15,-1.46,53.85,720659,7278656,10.1,低
8271,,其他,其他,15,8.14,40.72,5562489,1293278692,232.5,低
8342,,其他,其他,15,-0.54,64.44,0,0,91.5,低
8354,,其他,其他,15,2.74,61.74,102031,1719222,16.85,低
3609,,其他,其他,15,0.71,70.29,625794,17647391,28.2,中
3615,,其他,其他,15,12.6,72.39,8996537,438131358,48.7,中
4968,,其他,其他,15,3.54,45.28,1192730,139549410,117.0,低
4971,,其他,其他,15,6.29,49.44,257213,191366472,744.0,低
4974,,其他,其他,15,2.85,62.82,440001,33352077,75.8,低
4979,,其他,高速傳輸,15,11.74,42.0,15597779,9795405212,628.0,低
8215,,其他,其他,15,9.57,47.75,3790203,110673930,29.2,低
8227,,其他,其他,15,16.62,56.9,3001995,673947877,224.5,低
1470,,其他,其他,15,0.91,45.45,18721,413734,22.1,低
1472,,其他,其他,15,1.91,44.62,56389,5103204,90.5,低
1506,,其他,其他,15,3.47,49.21,497524,5199125,10.45,低
6226,,其他,其他,15,8.94,57.84,2116286,28358231,13.4,低
6227,,其他,其他,15,9.65,70.69,1522300,190287500,125.0,中
6231,,其他,其他,15,6.83,30.34,823031,244440207,297.0,低
2419,,其他,其他,15,2.44,58.24,8827178,277614754,31.45,低
2425,,其他,其他,15,1.62,63.44,1596189,55228136,34.6,低
6615,,其他,其他,15,1.08,53.23,29000,952649,32.85,低
6640,,其他,其他,15,14.0,52.59,292732,417143100,1425.0,低
6236,,其他,其他,15,4.99,100.0,0,0,20.0,高
6237,,其他,其他,15,5.25,71.11,1846013,94331261,51.1,中
1447,,其他,其他,15,-2.88,70.53,2014727,11544385,5.73,中
4991,,其他,其他,15,11.86,57.35,5078658,3976589214,783.0,低
5007,,其他,其他,15,3.8,45.0,94415,5419421,57.4,低
5013,,其他,其他,15,6.95,52.71,0,0,28.45,低
1525,,其他,其他,15,16.44,66.51,77747,5341218,68.7,中
1532,,其他,其他,15,0.48,53.49,821861,17094708,20.8,低
8182,,其他,其他,15,20.33,52.09,3821440,168525498,44.1,低
8210,,其他,機器人,15,8.56,57.14,1308777,1825743915,1395.0,低
