代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
4967,十銓,其他,其他,10,1.5,30.22,11751826,3178868933,270.5,低
8261,富鼎,其他,其他,25,26.67,85.16,16646861,3162903590,190.0,高
6706,惠特,其他,其他,25,20.18,62.1,15473586,3133401165,202.5,低
2426,鼎元,其他,其他,25,7.0,66.1,37886916,3065051562,80.9,中
0056,元大高股息,其他,其他,25,7.46,71.49,62545862,3054114555,48.83,中
6278,台表科,其他,其他,5,-0.22,56.7,13724395,3053677887,222.5,低
2618,長榮航,其他,其他,15,0.0,47.06,86205257,3043045506,35.3,低
6282,康舒,其他,其他,15,7.65,61.81,52711055,3041427913,57.7,低
4749,新應材,其他,其他,5,0.0,50.46,2775539,3025337510,1090.0,低
6451,訊芯-KY,其他,其他,15,14.03,64.55,5282616,3005808504,569.0,低
6510,精測,其他,其他,5,-2.09,42.46,912213,2992058640,3280.0,低
2357,華碩,其他,其他,10,5.49,59.63,4297015,2973534380,692.0,低
2464,盟立,其他,其他,20,23.53,70.54,17660065,2966890920,168.0,中
3533,嘉澤,其他,其他,5,-1.58,40.53,1190059,2957296615,2485.0,低
2441,超豐,其他,其他,20,32.39,92.44,20845674,2939240034,141.0,高
3034,聯詠,IC設計,其他,10,-1.24,40.39,6056140,2897862990,478.5,低
6257,矽格,其他,其他,20,5.77,63.85,12595668,2884407972,229.0,低
3030,德律,其他,其他,15,7.21,55.04,7042147,2880238123,409.0,低
0052,富邦科技,其他,其他,25,5.32,60.18,47922356,2846588019,59.4,低
2880,華南金,其他,其他,5,-7.64,11.46,96132724,2845528667,29.6,低
2451,創見,其他,其他,15,2.71,53.29,8831807,2843841854,322.0,低
3357,臺慶科,其他,其他,20,11.42,79.03,9925316,2808864428,283.0,高
2485,兆赫,其他,其他,5,2.57,55.97,38880041,2791587062,71.8,低
2059,川湖,其他,其他,5,-3.98,37.14,593860,2791142000,4700.0,低
