Date,Adj Close,Close,High,Low,Open,Volume
2024-05-27,27.520694732666016,30.0,30.399999618530273,29.950000762939453,30.399999618530273,80000
2024-05-28,27.47482681274414,29.950000762939453,30.0,29.850000381469727,30.0,33000
2024-05-29,27.520694732666016,30.0,30.149999618530273,29.950000762939453,30.0,32000
2024-05-30,27.428958892822266,29.899999618530273,30.049999237060547,29.850000381469727,29.899999618530273,23000
2024-05-31,27.47482681274414,29.950000762939453,30.700000762939453,29.850000381469727,29.850000381469727,39000
2024-06-03,27.47482681274414,29.950000762939453,30.0,29.899999618530273,30.0,43000
2024-06-04,27.383092880249023,29.850000381469727,30.0,29.850000381469727,29.950000762939453,44000
2024-06-05,27.19961929321289,29.649999618530273,29.850000381469727,29.5,29.850000381469727,35000
2024-06-06,26.832677841186523,29.25,29.649999618530273,29.200000762939453,29.649999618530273,61000
2024-06-07,26.832677841186523,29.25,29.5,29.100000381469727,29.100000381469727,26000
2024-06-11,25.9611873626709,28.299999237060547,29.299999237060547,28.299999237060547,29.299999237060547,97000
2024-06-12,25.54837989807129,27.850000381469727,28.299999237060547,27.399999618530273,28.299999237060547,135000
2024-06-13,25.08970069885254,27.350000381469727,27.799999237060547,27.0,27.799999237060547,60000
2024-06-14,25.54837989807129,27.850000381469727,28.649999618530273,27.299999237060547,27.350000381469727,56000
2024-06-17,26.3281307220459,28.700000762939453,28.799999237060547,27.649999618530273,27.649999618530273,69000
2024-06-18,26.60333824157715,29.0,30.399999618530273,28.899999618530273,29.100000381469727,225000
2024-06-19,26.5116024017334,28.899999618530273,29.649999618530273,28.899999618530273,29.299999237060547,126000
2024-06-20,26.419864654541016,28.799999237060547,28.950000762939453,28.75,28.899999618530273,56000
2024-06-21,25.915321350097656,28.25,29.0,27.899999618530273,29.0,306000
2024-06-24,25.731847763061523,28.049999237060547,28.100000381469727,27.950000762939453,28.0,29000
2024-06-25,25.9611873626709,28.299999237060547,28.299999237060547,28.049999237060547,28.049999237060547,31000
2024-06-26,25.9611873626709,28.299999237060547,28.350000381469727,28.200000762939453,28.350000381469727,29000
2024-06-27,25.86945343017578,28.200000762939453,28.450000762939453,28.200000762939453,28.299999237060547,41000
2024-06-28,26.190526962280273,28.549999237060547,28.649999618530273,28.299999237060547,28.299999237060547,18000
2024-07-01,26.23639678955078,28.600000381469727,29.25,28.600000381469727,29.25,16000
2024-07-02,25.86945343017578,28.200000762939453,28.700000762939453,28.0,28.600000381469727,41000
2024-07-03,26.007057189941406,28.350000381469727,28.600000381469727,28.100000381469727,28.25,29000
2024-07-04,26.007057189941406,28.350000381469727,28.450000762939453,28.350000381469727,28.350000381469727,32000
2024-07-05,26.14466094970703,28.5,29.049999237060547,28.450000762939453,29.049999237060547,29000
2024-07-08,26.190526962280273,28.549999237060547,28.600000381469727,28.399999618530273,28.549999237060547,46000
2024-07-09,28.80499267578125,31.399999618530273,31.399999618530273,28.549999237060547,28.549999237060547,615000
2024-07-10,31.648799896240234,34.5,34.5,31.399999618530273,32.099998474121094,811000
2024-07-11,31.006649017333984,33.79999923706055,36.650001525878906,33.400001525878906,36.54999923706055,610000
2024-07-12,34.07979202270508,37.150001525878906,37.150001525878906,33.04999923706055,33.04999923706055,412000
2024-07-15,34.90541458129883,38.04999923706055,40.849998474121094,38.04999923706055,40.5,1498000
2024-07-16,37.15293884277344,40.5,41.0,38.29999923706055,38.79999923706055,782000
2024-07-17,36.09797668457031,39.349998474121094,40.5,38.0,40.5,359000
2024-07-18,35.63929748535156,38.849998474121094,39.400001525878906,38.54999923706055,39.349998474121094,159000
2024-07-19,32.88722610473633,35.849998474121094,38.5,35.150001525878906,38.25,389000
2024-07-22,30.272764205932617,33.0,35.849998474121094,32.54999923706055,35.849998474121094,297000
2024-07-23,29.859952926635742,32.54999923706055,33.79999923706055,32.54999923706055,32.75,98000
2024-07-26,29.8140869140625,32.5,32.900001525878906,31.200000762939453,32.599998474121094,127000
2024-07-29,28.80499267578125,31.399999618530273,33.5,31.299999237060547,33.5,168000
2024-07-30,29.35540771484375,32.0,32.150001525878906,31.299999237060547,31.299999237060547,77000
2024-07-31,29.584747314453125,32.25,33.95000076293945,31.899999618530273,31.899999618530273,104000
2024-08-01,30.389450073242188,32.099998474121094,32.599998474121094,31.600000381469727,32.0,53000
2024-08-02,29.963430404663086,31.649999618530273,32.400001525878906,31.5,31.899999618530273,71000
2024-08-05,27.075960159301758,28.600000381469727,31.600000381469727,28.5,31.399999618530273,174000
2024-08-06,26.791946411132812,28.299999237060547,29.25,27.75,28.100000381469727,142000
2024-08-07,28.259349822998047,29.850000381469727,30.450000762939453,28.600000381469727,29.0,81000
2024-08-08,27.833330154418945,29.399999618530273,30.049999237060547,29.299999237060547,29.850000381469727,21000
2024-08-09,27.170631408691406,28.700000762939453,29.0,28.450000762939453,29.0,254000
2024-08-12,27.691322326660156,29.25,29.899999618530273,28.600000381469727,28.700000762939453,119000
2024-08-13,27.54931640625,29.100000381469727,29.350000381469727,28.600000381469727,29.100000381469727,68000
2024-08-14,28.259349822998047,29.850000381469727,30.5,29.299999237060547,29.450000762939453,117000
2024-08-15,28.212013244628906,29.799999237060547,30.200000762939453,29.700000762939453,30.0,46000
2024-08-16,28.448692321777344,30.049999237060547,30.5,29.799999237060547,29.799999237060547,46000
2024-08-19,28.1646785736084,29.75,30.299999237060547,29.75,30.100000381469727,47000
2024-08-20,27.785995483398438,29.350000381469727,29.75,29.049999237060547,29.700000762939453,61000
2024-08-21,27.928001403808594,29.5,29.5,29.299999237060547,29.350000381469727,7000
2024-08-22,28.022672653198242,29.600000381469727,29.950000762939453,29.450000762939453,29.700000762939453,27000
2024-08-23,27.785995483398438,29.350000381469727,29.5,29.299999237060547,29.350000381469727,28000
2024-08-26,28.022672653198242,29.600000381469727,29.700000762939453,29.350000381469727,29.5,11000
2024-08-27,27.833330154418945,29.399999618530273,29.600000381469727,29.25,29.600000381469727,30000
2024-08-28,28.827377319335938,30.450000762939453,30.799999237060547,29.399999618530273,29.399999618530273,68000
2024-08-29,28.590700149536133,30.200000762939453,30.600000381469727,30.0,30.600000381469727,34000
2024-08-30,28.448692321777344,30.049999237060547,30.200000762939453,29.799999237060547,30.049999237060547,47000
2024-09-02,28.401357650756836,30.0,30.700000762939453,30.0,30.600000381469727,25000
2024-09-03,28.1646785736084,29.75,30.0,29.549999237060547,30.0,34000
2024-09-04,27.928001403808594,29.5,29.899999618530273,28.950000762939453,28.950000762939453,36000
2024-09-05,27.54931640625,29.100000381469727,29.600000381469727,29.049999237060547,29.600000381469727,33000
2024-09-06,27.64398765563965,29.200000762939453,29.200000762939453,29.0,29.100000381469727,34000
2024-09-09,27.075960159301758,28.600000381469727,29.049999237060547,28.5,29.049999237060547,47000
2024-09-10,26.46059799194336,27.950000762939453,28.75,27.799999237060547,28.75,111000
2024-09-11,26.46059799194336,27.950000762939453,28.0,27.799999237060547,27.950000762939453,33000
2024-09-12,26.41326141357422,27.899999618530273,28.100000381469727,27.850000381469727,28.0,90000
2024-09-13,26.839282989501953,28.350000381469727,28.450000762939453,27.75,27.899999618530273,71000
2024-09-16,26.31859016418457,27.799999237060547,28.200000762939453,27.600000381469727,28.200000762939453,145000
2024-09-18,26.791946411132812,28.299999237060547,28.299999237060547,27.799999237060547,27.799999237060547,30000
2024-09-19,26.507932662963867,28.0,28.25,27.850000381469727,28.25,10000
2024-09-20,26.791946411132812,28.299999237060547,28.299999237060547,28.0,28.0,53000
2024-09-23,26.507932662963867,28.0,29.0,28.0,29.0,47000
2024-09-24,26.602603912353516,28.100000381469727,28.549999237060547,28.100000381469727,28.549999237060547,27000
2024-09-25,26.791946411132812,28.299999237060547,28.75,28.100000381469727,28.100000381469727,37000
2024-09-26,26.649940490722656,28.149999618530273,28.799999237060547,28.149999618530273,28.799999237060547,28000
2024-09-27,29.30073356628418,30.950000762939453,30.950000762939453,28.700000762939453,28.700000762939453,308000
2024-09-30,32.18820571899414,34.0,34.0,33.0,33.95000076293945,333000
2024-10-01,30.910144805908203,32.650001525878906,35.099998474121094,32.54999923706055,34.0,735000
2024-10-04,31.762184143066406,33.54999923706055,35.900001525878906,32.5,32.75,1291000
2024-10-07,32.140869140625,33.95000076293945,34.400001525878906,33.29999923706055,34.0,399000
2024-10-08,30.815471649169922,32.54999923706055,34.54999923706055,32.400001525878906,33.95000076293945,233000
2024-10-09,30.152774810791016,31.850000381469727,33.150001525878906,31.799999237060547,33.150001525878906,82000
2024-10-11,28.922048568725586,30.549999237060547,31.850000381469727,30.5,31.850000381469727,118000
2024-10-14,29.30073356628418,30.950000762939453,31.149999618530273,30.049999237060547,30.450000762939453,52000
2024-10-15,28.874711990356445,30.5,30.950000762939453,30.5,30.850000381469727,11000
2024-10-16,29.490076065063477,31.149999618530273,32.70000076293945,30.5,30.5,62000
2024-10-17,29.774089813232422,31.450000762939453,31.850000381469727,31.049999237060547,31.100000381469727,27000
2024-10-18,29.111391067504883,30.75,31.850000381469727,30.649999618530273,31.149999618530273,54000
2024-10-21,29.30073356628418,30.950000762939453,31.75,30.950000762939453,31.5,50000
2024-10-22,29.774089813232422,31.450000762939453,31.75,31.0,31.649999618530273,26000
2024-10-23,30.578794479370117,32.29999923706055,32.70000076293945,31.600000381469727,32.150001525878906,94000
2024-10-24,30.010766983032227,31.700000762939453,32.400001525878906,31.600000381469727,32.400001525878906,44000
2024-10-25,29.442739486694336,31.100000381469727,32.29999923706055,30.799999237060547,32.29999923706055,76000
2024-10-28,28.212013244628906,29.799999237060547,30.700000762939453,29.200000762939453,30.700000762939453,127000
2024-10-29,28.401357650756836,30.0,30.399999618530273,29.600000381469727,30.350000381469727,42000
2024-10-30,28.11734390258789,29.700000762939453,30.799999237060547,29.600000381469727,30.799999237060547,42000
2024-11-01,28.63803482055664,30.25,30.25,30.0,30.0,36000
2024-11-04,28.68536949157715,30.299999237060547,30.549999237060547,30.25,30.299999237060547,18000
2024-11-05,28.68536949157715,30.299999237060547,31.399999618530273,30.25,30.799999237060547,54000
2024-11-06,29.064056396484375,30.700000762939453,30.75,30.350000381469727,30.649999618530273,21000
2024-11-07,29.442739486694336,31.100000381469727,31.200000762939453,30.549999237060547,30.549999237060547,47000
2024-11-08,29.25339698791504,30.899999618530273,32.349998474121094,30.700000762939453,31.600000381469727,95000
2024-11-11,28.022672653198242,29.600000381469727,30.049999237060547,29.100000381469727,29.950000762939453,122000
2024-11-12,27.833330154418945,29.399999618530273,30.100000381469727,29.350000381469727,30.0,21000
2024-11-13,27.596651077270508,29.149999618530273,29.700000762939453,29.100000381469727,29.25,24000
2024-11-14,27.407310485839844,28.950000762939453,30.0,28.950000762939453,30.0,37000
2024-11-15,26.88661766052246,28.399999618530273,28.850000381469727,28.0,28.399999618530273,157000
2024-11-18,26.839282989501953,28.350000381469727,28.399999618530273,28.149999618530273,28.399999618530273,30000
2024-11-19,27.028623580932617,28.549999237060547,29.299999237060547,28.399999618530273,28.399999618530273,40000
2024-11-20,26.98128890991211,28.5,29.200000762939453,28.450000762939453,28.450000762939453,23967
2024-11-21,27.170631408691406,28.700000762939453,29.350000381469727,28.649999618530273,29.350000381469727,15000
2024-11-22,27.028623580932617,28.549999237060547,28.799999237060547,28.5,28.700000762939453,51000
2024-11-25,26.88661766052246,28.399999618530273,29.149999618530273,28.299999237060547,29.149999618530273,66000
2024-11-26,26.839282989501953,28.350000381469727,28.450000762939453,28.200000762939453,28.399999618530273,48000
2024-11-27,26.744611740112305,28.25,28.899999618530273,28.299999237060547,28.649999618530273,48000
2024-11-28,26.602603912353516,28.100000381469727,29.0,28.100000381469727,29.0,16000
2024-11-29,26.697277069091797,28.200000762939453,28.399999618530273,27.950000762939453,28.149999618530273,80000
2024-12-02,26.649940490722656,28.149999618530273,28.899999618530273,28.149999618530273,28.200000762939453,45000
2024-12-03,27.075960159301758,28.600000381469727,29.100000381469727,28.299999237060547,29.100000381469727,25000
2024-12-04,27.075960159301758,28.600000381469727,28.75,28.5,28.75,29000
2024-12-05,26.98128890991211,28.5,28.950000762939453,28.5,28.950000762939453,18000
2024-12-06,26.98128890991211,28.5,28.799999237060547,28.200000762939453,28.200000762939453,16000
2024-12-09,26.46059799194336,27.950000762939453,28.5,27.950000762939453,28.25,71000
2024-12-10,26.507932662963867,28.0,28.600000381469727,27.899999618530273,28.549999237060547,145000
2024-12-11,26.507932662963867,28.0,28.100000381469727,27.950000762939453,28.0,32000
2024-12-12,26.31859016418457,27.799999237060547,28.75,27.799999237060547,28.049999237060547,41000
2024-12-13,25.987241744995117,27.450000762939453,28.200000762939453,27.399999618530273,27.899999618530273,42000
2024-12-16,24.425167083740234,25.799999237060547,28.100000381469727,25.25,28.049999237060547,136000
2024-12-17,24.425167083740234,25.799999237060547,26.5,25.799999237060547,25.799999237060547,71000
2024-12-18,24.425167083740234,25.799999237060547,25.899999618530273,25.700000762939453,25.700000762939453,16000
2024-12-19,23.289113998413086,24.600000381469727,25.75,24.049999237060547,25.75,139000
2024-12-20,22.531742095947266,23.799999237060547,24.549999237060547,23.5,24.399999618530273,128000
2024-12-23,22.011051177978516,23.25,23.950000762939453,23.200000762939453,23.200000762939453,169000
2024-12-24,22.153057098388672,23.399999618530273,23.799999237060547,23.149999618530273,23.299999237060547,119000
2024-12-25,22.011051177978516,23.25,23.75,22.950000762939453,23.75,113000
2024-12-26,22.721084594726562,24.0,24.399999618530273,23.399999618530273,23.399999618530273,167000
2024-12-27,22.38973617553711,23.649999618530273,24.0,23.600000381469727,23.799999237060547,30000
2024-12-30,22.153057098388672,23.399999618530273,24.200000762939453,23.399999618530273,24.200000762939453,65000
2024-12-31,23.147106170654297,24.450000762939453,24.75,23.350000381469727,23.350000381469727,90000
2025-01-02,24.472503662109375,25.850000381469727,26.149999618530273,25.350000381469727,25.5,328000
2025-01-03,24.425167083740234,25.799999237060547,26.700000762939453,25.450000762939453,26.700000762939453,190000
2025-01-06,26.129249572753906,27.600000381469727,28.200000762939453,26.299999237060547,26.299999237060547,471000
2025-01-07,25.561222076416016,27.0,28.149999618530273,26.5,28.100000381469727,177000
2025-01-08,25.939905166625977,27.399999618530273,27.950000762939453,27.149999618530273,27.700000762939453,116000
2025-01-09,24.993194580078125,26.399999618530273,27.799999237060547,26.350000381469727,27.200000762939453,97000
2025-01-10,24.851186752319336,26.25,26.450000762939453,25.799999237060547,26.399999618530273,55000
2025-01-13,23.667797088623047,25.0,26.799999237060547,24.399999618530273,26.799999237060547,117000
2025-01-14,24.519838333129883,25.899999618530273,26.200000762939453,25.649999618530273,25.799999237060547,55000
2025-01-15,24.567174911499023,25.950000762939453,26.5,25.549999237060547,26.5,23000
2025-01-16,25.324542999267578,26.75,27.0,25.399999618530273,25.950000762939453,108000
2025-01-17,25.79789924621582,27.25,27.649999618530273,26.649999618530273,27.649999618530273,44000
2025-01-20,25.79789924621582,27.25,27.850000381469727,26.75,27.649999618530273,61000
