Price,Close,High,Low,Open,Volume
Ticker,9912.TW,9912.TW,9912.TW,9912.TW,9912.TW
2024-05-28,14.199999809265137,14.300000190734863,13.5,13.75,738873
2024-05-29,14.199999809265137,14.600000381469727,14.050000190734863,14.199999809265137,505066
2024-05-30,14.399999618530273,14.600000381469727,14.0,14.300000190734863,482396
2024-05-31,14.600000381469727,15.5,14.350000381469727,14.649999618530273,1015456
2024-06-03,14.0,14.600000381469727,13.949999809265137,14.600000381469727,509224
2024-06-04,13.949999809265137,14.199999809265137,13.550000190734863,14.0,292090
2024-06-05,13.850000381469727,14.050000190734863,13.649999618530273,13.949999809265137,218000
2024-06-06,13.75,13.949999809265137,13.649999618530273,13.850000381469727,156001
2024-06-07,13.949999809265137,14.0,13.699999809265137,13.800000190734863,189102
2024-06-11,13.149999618530273,13.899999618530273,13.0,13.899999618530273,472020
2024-06-12,13.100000381469727,13.399999618530273,13.050000190734863,13.199999809265137,140080
2024-06-13,13.0,13.199999809265137,13.0,13.199999809265137,138328
2024-06-14,13.199999809265137,13.300000190734863,12.850000381469727,13.100000381469727,193000
2024-06-17,13.399999618530273,13.449999809265137,13.149999618530273,13.199999809265137,170156
2024-06-18,13.449999809265137,13.699999809265137,13.300000190734863,13.699999809265137,108001
2024-06-19,13.25,13.5,13.199999809265137,13.300000190734863,97194
2024-06-20,13.149999618530273,13.300000190734863,13.0,13.25,166054
2024-06-21,13.25,13.300000190734863,13.050000190734863,13.149999618530273,128471
2024-06-24,13.449999809265137,13.449999809265137,13.25,13.25,165118
2024-06-25,13.050000190734863,13.300000190734863,12.699999809265137,13.100000381469727,158228
2024-06-26,13.050000190734863,13.399999618530273,13.0,13.050000190734863,123360
2024-06-27,13.449999809265137,13.649999618530273,12.899999618530273,13.050000190734863,297003
2024-06-28,13.300000190734863,13.5,13.300000190734863,13.449999809265137,256158
2024-07-01,13.199999809265137,13.399999618530273,13.0,13.100000381469727,108142
2024-07-02,13.199999809265137,13.449999809265137,13.149999618530273,13.199999809265137,92336
2024-07-03,13.350000381469727,13.399999618530273,13.050000190734863,13.25,86150
2024-07-04,13.399999618530273,13.449999809265137,13.25,13.399999618530273,161500
2024-07-05,14.199999809265137,14.600000381469727,13.300000190734863,13.399999618530273,566041
2024-07-08,14.199999809265137,14.5,14.0,14.100000381469727,389026
2024-07-09,14.300000190734863,14.550000190734863,14.100000381469727,14.199999809265137,400053
2024-07-10,14.050000190734863,14.449999809265137,14.0,14.149999618530273,240127
2024-07-11,13.5,14.050000190734863,13.399999618530273,14.050000190734863,437157
2024-07-12,13.5,13.550000190734863,13.300000190734863,13.5,152600
2024-07-15,13.5,13.699999809265137,13.100000381469727,13.550000190734863,156627
2024-07-16,13.399999618530273,13.5,13.300000190734863,13.350000381469727,62101
2024-07-17,13.25,13.350000381469727,13.100000381469727,13.149999618530273,65000
2024-07-18,13.149999618530273,13.300000190734863,13.100000381469727,13.25,101443
2024-07-19,12.949999809265137,13.149999618530273,12.899999618530273,13.149999618530273,130005
2024-07-22,12.350000381469727,13.0,12.0,12.949999809265137,209317
2024-07-23,12.550000190734863,12.699999809265137,12.300000190734863,12.350000381469727,90015
2024-07-26,12.399999618530273,12.600000381469727,12.25,12.600000381469727,59469
2024-07-29,12.25,12.399999618530273,12.149999618530273,12.399999618530273,74002
2024-07-30,12.5,12.5,12.149999618530273,12.399999618530273,113086
2024-07-31,12.5,12.75,12.25,12.75,60062
2024-08-01,12.550000190734863,12.600000381469727,12.399999618530273,12.600000381469727,66201
2024-08-02,12.25,12.649999618530273,12.100000381469727,12.449999809265137,52243
2024-08-05,11.149999618530273,12.600000381469727,11.050000190734863,12.600000381469727,231131
2024-08-06,11.399999618530273,12.25,10.5,12.25,182221
2024-08-07,11.699999809265137,11.800000190734863,11.149999618530273,11.649999618530273,183000
2024-08-08,11.699999809265137,11.899999618530273,11.5,11.550000190734863,49005
2024-08-09,11.800000190734863,12.449999809265137,11.649999618530273,12.449999809265137,93135
2024-08-12,12.25,12.399999618530273,11.899999618530273,12.0,156202
2024-08-13,12.850000381469727,13.100000381469727,12.100000381469727,12.25,324091
2024-08-14,12.850000381469727,13.0,12.5,12.649999618530273,265102
2024-08-15,13.050000190734863,13.149999618530273,12.75,13.050000190734863,139025
2024-08-16,12.850000381469727,13.199999809265137,12.850000381469727,13.199999809265137,98101
2024-08-19,13.0,13.100000381469727,12.899999618530273,13.050000190734863,52005
2024-08-20,12.949999809265137,13.199999809265137,12.800000190734863,12.899999618530273,93074
2024-08-21,13.0,13.100000381469727,12.699999809265137,12.949999809265137,103008
2024-08-22,13.050000190734863,13.100000381469727,12.550000190734863,12.949999809265137,230104
2024-08-23,13.100000381469727,13.100000381469727,12.800000190734863,13.0,144191
2024-08-26,13.149999618530273,13.25,13.0,13.100000381469727,206435
2024-08-27,13.399999618530273,13.399999618530273,13.050000190734863,13.050000190734863,292338
2024-08-28,13.149999618530273,13.5,13.149999618530273,13.399999618530273,207000
2024-08-29,13.300000190734863,13.449999809265137,12.899999618530273,13.149999618530273,149366
2024-08-30,13.300000190734863,13.350000381469727,13.0,13.300000190734863,101468
2024-09-02,13.399999618530273,13.5,13.0,13.300000190734863,99101
2024-09-03,13.100000381469727,13.399999618530273,13.0,13.399999618530273,82139
2024-09-04,12.600000381469727,13.050000190734863,12.199999809265137,12.600000381469727,102021
2024-09-05,12.5,12.899999618530273,12.5,12.75,36241
2024-09-06,12.5,12.699999809265137,12.149999618530273,12.449999809265137,71002
2024-09-09,12.5,12.5,12.050000190734863,12.350000381469727,71500
2024-09-10,12.399999618530273,12.600000381469727,12.149999618530273,12.5,66000
2024-09-11,12.399999618530273,12.699999809265137,12.300000190734863,12.699999809265137,91002
2024-09-12,12.399999618530273,12.600000381469727,12.399999618530273,12.399999618530273,9000
2024-09-13,12.350000381469727,12.399999618530273,12.300000190734863,12.399999618530273,33053
2024-09-16,12.350000381469727,12.399999618530273,12.25,12.350000381469727,14407
2024-09-18,12.199999809265137,12.350000381469727,11.949999809265137,12.350000381469727,142001
2024-09-19,12.149999618530273,12.199999809265137,12.100000381469727,12.149999618530273,21389
2024-09-20,12.149999618530273,12.350000381469727,12.050000190734863,12.199999809265137,49003
2024-09-23,12.199999809265137,12.300000190734863,12.199999809265137,12.199999809265137,21106
2024-09-24,12.699999809265137,12.800000190734863,12.199999809265137,12.25,125051
2024-09-25,12.550000190734863,12.800000190734863,12.5,12.699999809265137,103037
2024-09-26,12.5,12.649999618530273,12.449999809265137,12.600000381469727,27000
2024-09-27,12.550000190734863,12.600000381469727,12.350000381469727,12.600000381469727,32003
2024-09-30,12.649999618530273,12.699999809265137,12.550000190734863,12.550000190734863,68001
2024-10-01,12.75,12.800000190734863,12.399999618530273,12.75,67000
2024-10-04,12.699999809265137,12.800000190734863,12.399999618530273,12.600000381469727,87001
2024-10-07,12.5,12.550000190734863,12.449999809265137,12.550000190734863,19006
2024-10-08,12.25,12.5,12.149999618530273,12.5,50100
2024-10-09,12.100000381469727,12.25,12.050000190734863,12.25,69140
2024-10-11,12.100000381469727,12.399999618530273,12.0,12.0,49211
2024-10-14,12.100000381469727,12.199999809265137,12.050000190734863,12.100000381469727,42187
2024-10-15,12.149999618530273,12.25,12.050000190734863,12.050000190734863,34134
2024-10-16,12.149999618530273,12.199999809265137,12.0,12.149999618530273,47001
2024-10-17,12.600000381469727,12.600000381469727,12.100000381469727,12.149999618530273,70187
2024-10-18,12.949999809265137,13.199999809265137,12.350000381469727,12.649999618530273,272320
2024-10-21,12.949999809265137,13.100000381469727,12.699999809265137,13.100000381469727,56053
2024-10-22,12.75,12.850000381469727,11.75,12.699999809265137,95050
2024-10-23,12.75,12.850000381469727,12.550000190734863,12.600000381469727,85001
2024-10-24,12.800000190734863,12.800000190734863,12.5,12.550000190734863,72371
2024-10-25,12.899999618530273,13.0,12.649999618530273,12.699999809265137,117002
2024-10-28,12.75,13.100000381469727,12.75,13.050000190734863,122015
2024-10-29,12.699999809265137,13.0,12.550000190734863,13.0,61007
2024-10-30,12.649999618530273,12.649999618530273,12.449999809265137,12.649999618530273,61002
2024-11-01,12.75,12.850000381469727,12.550000190734863,12.649999618530273,28061
2024-11-04,12.550000190734863,12.949999809265137,12.550000190734863,12.800000190734863,115041
2024-11-05,12.5,12.75,12.5,12.75,20484
2024-11-06,12.600000381469727,12.699999809265137,12.399999618530273,12.699999809265137,37436
2024-11-07,12.449999809265137,12.5,12.399999618530273,12.5,44001
2024-11-08,12.300000190734863,12.5,12.199999809265137,12.5,51558
2024-11-11,12.300000190734863,12.350000381469727,12.199999809265137,12.350000381469727,37216
2024-11-12,12.300000190734863,12.300000190734863,12.050000190734863,12.199999809265137,38008
2024-11-13,12.350000381469727,12.350000381469727,12.149999618530273,12.149999618530273,9000
2024-11-14,12.0,12.600000381469727,12.0,12.399999618530273,77081
2024-11-15,12.300000190734863,12.5,12.100000381469727,12.199999809265137,40001
2024-11-18,12.300000190734863,12.600000381469727,12.199999809265137,12.300000190734863,33002
2024-11-19,12.199999809265137,12.5,12.199999809265137,12.449999809265137,79463
2024-11-20,12.100000381469727,12.100000381469727,12.100000381469727,12.100000381469727,49151
2024-11-21,12.149999618530273,12.300000190734863,12.0,12.300000190734863,15087
2024-11-22,12.050000190734863,12.25,12.050000190734863,12.100000381469727,19261
2024-11-25,12.149999618530273,12.199999809265137,12.0,12.0,60217
2024-11-26,12.149999618530273,12.300000190734863,12.050000190734863,12.25,43002
2024-11-27,12.149999618530273,12.199999809265137,12.0,12.0,32564
2024-11-28,12.149999618530273,12.149999618530273,11.850000381469727,12.0,52055
2024-11-29,12.050000190734863,12.149999618530273,11.850000381469727,12.149999618530273,28059
2024-12-02,12.100000381469727,12.149999618530273,12.0,12.149999618530273,26018
2024-12-03,12.149999618530273,12.199999809265137,12.100000381469727,12.100000381469727,188447
2024-12-04,12.25,12.300000190734863,12.149999618530273,12.199999809265137,38038
2024-12-05,12.25,12.300000190734863,12.199999809265137,12.25,37009
2024-12-06,12.5,12.550000190734863,12.25,12.25,148053
2024-12-09,12.550000190734863,12.600000381469727,12.25,12.600000381469727,59100
2024-12-10,12.5,12.5,12.399999618530273,12.399999618530273,24173
2024-12-11,12.5,12.600000381469727,12.350000381469727,12.5,36102
2024-12-12,12.449999809265137,12.550000190734863,12.199999809265137,12.5,74361
2024-12-13,12.350000381469727,12.5,12.199999809265137,12.449999809265137,21221
2024-12-16,12.050000190734863,12.350000381469727,12.0,12.0,43117
2024-12-17,12.149999618530273,12.300000190734863,12.0,12.300000190734863,28063
2024-12-18,12.149999618530273,12.149999618530273,11.850000381469727,12.149999618530273,58307
2024-12-19,12.149999618530273,12.199999809265137,11.899999618530273,11.899999618530273,16081
2024-12-20,12.100000381469727,12.100000381469727,11.850000381469727,11.949999809265137,41006
2024-12-23,12.149999618530273,12.300000190734863,12.0,12.0,28720
2024-12-24,12.149999618530273,12.149999618530273,11.949999809265137,12.149999618530273,36051
2024-12-25,12.149999618530273,12.399999618530273,12.100000381469727,12.300000190734863,31307
2024-12-26,12.300000190734863,12.300000190734863,12.050000190734863,12.149999618530273,65101
2024-12-27,12.300000190734863,12.300000190734863,12.050000190734863,12.149999618530273,44004
2024-12-30,12.149999618530273,12.199999809265137,12.050000190734863,12.050000190734863,8091
2024-12-31,12.0,12.199999809265137,12.0,12.199999809265137,25046
2025-01-02,12.0,12.149999618530273,11.850000381469727,12.149999618530273,65061
2025-01-03,12.0,12.050000190734863,11.899999618530273,12.050000190734863,21000
2025-01-06,12.050000190734863,12.449999809265137,11.949999809265137,12.199999809265137,47153
2025-01-07,11.949999809265137,12.0,11.899999618530273,11.949999809265137,37102
2025-01-08,12.050000190734863,12.050000190734863,11.800000190734863,11.800000190734863,12372
2025-01-09,12.0,12.100000381469727,11.800000190734863,12.100000381469727,40004
