Price,Close,High,Low,Open,Volume
Ticker,5345.TWO,5345.TWO,5345.TWO,5345.TWO,5345.TWO
2024-05-28,12.100000381469727,12.100000381469727,12.100000381469727,12.100000381469727,2000
2024-05-29,12.25,12.25,11.850000381469727,11.850000381469727,4000
2024-05-30,12.0,12.350000381469727,11.949999809265137,12.350000381469727,12000
2024-05-31,12.0,12.399999618530273,12.0,12.399999618530273,2000
2024-06-03,12.0,12.0,11.850000381469727,11.850000381469727,2000
2024-06-04,12.100000381469727,12.5,11.75,11.75,5000
2024-06-05,12.050000190734863,12.199999809265137,11.699999809265137,11.75,18000
2024-06-06,12.100000381469727,12.100000381469727,12.0,12.0,4000
2024-06-07,12.050000190734863,12.300000190734863,11.800000190734863,11.800000190734863,10000
2024-06-11,11.850000381469727,12.100000381469727,11.850000381469727,11.949999809265137,7000
2024-06-12,11.899999618530273,11.949999809265137,11.899999618530273,11.949999809265137,6000
2024-06-13,11.850000381469727,11.850000381469727,11.850000381469727,11.850000381469727,6000
2024-06-14,11.850000381469727,12.350000381469727,11.850000381469727,12.149999618530273,5000
2024-06-17,11.850000381469727,11.850000381469727,11.850000381469727,11.850000381469727,0
2024-06-18,12.25,12.649999618530273,12.100000381469727,12.100000381469727,5000
2024-06-19,12.25,12.25,12.25,12.25,3000
2024-06-20,12.050000190734863,12.449999809265137,11.699999809265137,11.699999809265137,3000
2024-06-21,13.25,13.25,13.199999809265137,13.199999809265137,15000
2024-06-24,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,36000
2024-06-25,16.0,16.0,16.0,16.0,58000
2024-06-26,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,11000
2024-06-27,19.350000381469727,19.350000381469727,19.350000381469727,19.350000381469727,33000
2024-06-28,21.25,21.25,21.25,21.25,282000
2024-07-01,23.350000381469727,23.350000381469727,23.299999237060547,23.299999237060547,61000
2024-07-02,25.649999618530273,25.649999618530273,25.649999618530273,25.649999618530273,36000
2024-07-03,28.200000762939453,28.200000762939453,28.200000762939453,28.200000762939453,7000
2024-07-04,31.0,31.0,31.0,31.0,68000
2024-07-05,33.20000076293945,34.099998474121094,28.799999237060547,34.099998474121094,232000
2024-07-08,29.899999618530273,33.20000076293945,29.899999618530273,33.20000076293945,81000
2024-07-09,28.5,32.79999923706055,27.649999618530273,30.5,100000
2024-07-10,26.049999237060547,26.649999618530273,25.75,25.75,81000
2024-07-11,27.0,26.0,26.0,26.0,21000
2024-07-12,27.0,28.399999618530273,26.0,26.0,26000
2024-07-15,26.5,26.5,26.049999237060547,26.5,18000
2024-07-16,25.450000762939453,26.5,24.350000381469727,26.5,26000
2024-07-17,26.5,26.5,26.5,26.5,17000
2024-07-18,26.600000381469727,28.399999618530273,26.399999618530273,26.399999618530273,24000
2024-07-19,27.450000762939453,27.5,26.5,26.5,18000
2024-07-22,29.799999237060547,29.799999237060547,28.049999237060547,29.700000762939453,64000
2024-07-23,28.299999237060547,29.799999237060547,28.299999237060547,29.799999237060547,39000
2024-07-26,28.799999237060547,28.799999237060547,28.25,28.25,27000
2024-07-29,27.0,28.75,26.799999237060547,28.75,29000
2024-07-30,26.850000381469727,27.100000381469727,26.850000381469727,27.0,16000
2024-07-31,26.850000381469727,27.899999618530273,26.850000381469727,26.850000381469727,9000
2024-08-01,26.950000762939453,27.5,26.850000381469727,26.850000381469727,13000
2024-08-02,27.0,27.850000381469727,27.0,27.850000381469727,27000
2024-08-05,25.100000381469727,27.0,25.100000381469727,27.0,46000
2024-08-06,25.25,26.950000762939453,25.100000381469727,25.100000381469727,11000
2024-08-07,25.399999618530273,25.600000381469727,25.25,25.25,8000
2024-08-08,25.450000762939453,25.450000762939453,25.399999618530273,25.399999618530273,3000
2024-08-09,27.5,27.950000762939453,25.450000762939453,25.5,7000
2024-08-12,26.25,27.549999237060547,26.25,27.549999237060547,10000
2024-08-13,26.899999618530273,26.899999618530273,25.899999618530273,26.25,10000
