Price,Close,High,Low,Open,Volume
Ticker,2536.TW,2536.TW,2536.TW,2536.TW,2536.TW
2024-05-28,33.22350311279297,33.707810749116405,32.98134929463125,32.98134929463125,530724
2024-05-29,33.36880111694336,33.659384996624354,32.93292344993462,33.078217237262365,546000
2024-05-30,33.078216552734375,33.61095427028735,32.981352798195566,33.32037039661977,424273
2024-05-31,34.09526062011719,34.33741445450016,33.078215254703565,33.078215254703565,883799
2024-06-03,34.09526062011719,34.33741445450016,33.70781300711472,34.33741445450016,298283
2024-06-04,34.57957077026367,34.77329459066625,33.901539246341926,33.901539246341926,763102
2024-06-05,34.28898620605469,34.918583991138995,34.192122450290164,34.62800011379436,595137
2024-06-06,33.85310745239258,34.288985101860376,33.56252358440549,34.288985101860376,668842
2024-06-07,34.821720123291016,35.25759773914072,33.46565725064173,33.46565725064173,781000
2024-06-11,34.43427276611328,35.06387418160841,34.14368891856711,34.8701503849196,720000
2024-06-12,33.75624084472656,34.28898220178166,33.56252074576911,34.28898220178166,637028
2024-06-13,33.94996643066406,34.192120262116696,33.61095254462007,33.90153640336838,244054
2024-06-14,34.24055099487305,34.627998611169566,33.70781329369607,33.70781329369607,375000
2024-06-17,33.94996643066406,34.240550289412376,33.8531063760727,34.240550289412376,461300
2024-06-18,33.65938186645508,34.19211954549047,33.61095184017444,33.85310566655181,558000
2024-06-19,33.85310745239258,34.288985101860376,33.659383642076406,33.659383642076406,341076
2024-06-20,33.46565628051758,34.19211772088326,33.32036620942882,33.80467383633927,657271
2024-06-21,33.51408767700195,33.51408767700195,32.93291997889348,33.46565765132193,833269
2024-06-24,33.51408767700195,33.75624150037617,33.271933853627736,33.51408767700195,160084
2024-06-25,33.46565628051758,33.75624011766906,33.1750724433661,33.7078100939728,166073
2024-06-26,33.029781341552734,33.70781281291356,32.981351313950015,33.368798924720274,482040
2024-06-27,32.35175323486328,32.93292095011085,32.35175323486328,32.93292095011085,491010
2024-06-28,32.44861602783203,32.8360636673482,32.44861602783203,32.59390981639422,188000
2024-07-01,33.12664794921875,33.368801803094655,32.4486164193713,32.4486164193713,237025
2024-07-02,32.98134994506836,32.98134994506836,32.739196122131034,32.83605986829043,231169
2024-07-03,32.8360595703125,32.93291962061881,32.64233577472581,32.93291962061881,221010
2024-07-04,33.271934509277344,33.46565831078902,32.98135065449692,32.98135065449692,440038
2024-07-05,32.98134994506836,33.32036751416507,32.83605986829043,33.32036751416507,280558
2024-07-08,32.884490966796875,33.41722865564566,32.73919719030438,33.2235048519804,534070
2024-07-09,32.787628173828125,32.884491925973194,32.40018425017086,32.83606189738783,372200
2024-07-10,33.029781341552734,33.07821506412971,32.4486136203716,32.642337425756736,592019
2024-07-11,33.029781341552734,33.368798924720274,32.981351313950015,33.07821506412971,530999
2024-07-12,32.98134994506836,33.465657590943,32.98134994506836,33.32036751416507,372545
2024-07-15,33.51408767700195,33.85310524671033,32.7876262068793,32.9813500045735,672245
2024-07-16,35.72542953491211,36.216838489995645,33.66151342322237,33.71065356890016,2754707
2024-07-17,35.283164978027344,35.921994379258145,35.234021082495644,35.676289898211024,1175150
2024-07-18,35.38144302368164,35.77457166805026,34.693469770612865,35.18487870149733,752550
2024-07-19,34.595191955566406,35.38144555132074,34.30034732580264,35.38144555132074,792305
2024-07-22,34.005496978759766,34.59518995331068,33.26838357243561,34.59518995331068,684001
2024-07-23,34.30034637451172,34.93917576309034,34.10378204373646,34.10378204373646,391029
2024-07-26,34.103782653808594,34.39862728066948,33.5632335463715,34.103782653808594,312129
2024-07-29,35.62714767456055,36.65910568495867,34.10378073072021,34.10378073072021,2443599
2024-07-30,36.8065299987793,37.74020772555245,35.67628794808243,36.855670142472064,5850314
2024-07-31,35.578006744384766,37.64192271954595,35.47972271037789,36.806529050826555,2186130
2024-08-01,36.41340255737305,36.80653121824553,35.57800883945998,35.62714898478085,2058099
2024-08-02,34.546051025390625,36.31512251300852,34.546051025390625,35.97113399512409,2279283
2024-08-05,31.106185913085938,33.90721728075962,31.106185913085938,33.90721728075962,2557201
2024-08-06,30.86048126220703,31.499312513537923,28.993127652710445,31.10618573384017,1849311
2024-08-07,32.08900451660156,32.3838491237414,30.860480321315446,30.860480321315446,1137504
2024-08-08,31.84330177307129,32.13814639614267,30.958764154704333,31.84330177307129,959332
2024-08-09,32.236427307128906,33.022680900151,31.94158267838973,32.08900686733575,2805363
2024-08-12,33.02267837524414,34.10378026349746,32.38384902001282,32.38384902001282,2183089
2024-08-13,33.317527770996094,33.317527770996094,32.43299017563586,32.826118828941006,534088
2024-08-14,33.415809631347656,33.808938303142305,33.219245295450335,33.46494977803377,435088
2024-08-15,33.51408767700195,33.80893603564953,33.26838321089738,33.36666724683079,618022
2024-08-16,33.808937072753906,34.25120212598671,33.661512888907815,33.7106530338056,978175
2024-08-19,34.6934700012207,34.89003432471158,33.61237184574985,33.808936169240724,1078000
2024-08-20,33.956356048583984,34.74260958062703,33.61237129992533,34.74260958062703,679099
2024-08-21,33.66151428222656,34.300347439798585,33.26838560846641,34.300347439798585,470000
2024-08-22,33.17010498046875,34.39862738715278,32.826120206258366,33.85807827804238,580000
2024-08-23,32.973541259765625,33.17010559832704,32.72783677385209,33.17010559832704,307000
2024-08-26,32.580413818359375,33.21924318295992,32.53126992564557,32.973538716001414,524703
2024-08-27,32.82611846923828,32.97353890074778,32.43298982024096,32.43298982024096,227457
2024-08-28,32.924400329589844,33.17010480966141,32.776976141885775,32.776976141885775,141000
2024-08-29,33.563232421875,33.710652855789874,32.92439929411907,33.02267958339565,313000
2024-08-30,34.6934700012207,35.086598648202454,33.56323170216529,33.56323170216529,789930
2024-09-02,34.20206069946289,34.89003394971023,34.15292055640649,34.79175366359743,978997
2024-09-03,33.71065139770508,34.20206032113854,33.66151125519224,33.956355859421805,220000
2024-09-04,32.33470916748047,33.219242994008276,31.84330023635859,33.219242994008276,873005
2024-09-05,32.924400329589844,33.022680621957335,32.62955570333453,32.8752601834061,252000
