日期,股票代號,股票名稱,族群,分數,5日漲幅,RSI
2026-05-27,4976,佳凌,其他,10,3.83,63.28
2026-05-27,8121,越峰,其他,10,16.48,67.68
2026-05-27,2312,金寶,其他,9,31.98,69.49
2026-05-27,2493,揚博,其他,9,22.96,65.91
2026-05-27,3211,順達,其他,9,33.72,69.91
2026-05-27,5011,久陽,其他,9,24.25,72.19
2026-05-27,6125,廣運,散熱,9,20.29,64.76
2026-05-27,6209,今國光,其他,9,26.76,72.64
2026-05-27,6290,良維,其他,9,25.38,70.68
2026-05-27,8182,加高,其他,9,20.33,63.53
2026-05-27,8289,泰藝,其他,9,24.59,73.48
2026-05-27,2302,麗正,其他,7,31.06,79.01
2026-05-27,6284,佳邦,其他,7,28.41,77.89
2026-05-27,2356,英業達,AI伺服器,6,20.62,72.49
2026-05-27,2911,麗嬰房,其他,4,28.65,84.06
2026-05-27,6742,澤米,其他,4,25.26,78.04
