日期,代號,名稱,族群,分數,收盤價
2026-05-28,2385,群光,其他,25,135.5
2026-05-28,2233,宇隆,其他,25,365.0
2026-05-28,6190,萬泰科,其他,25,80.4
2026-05-28,2458,義隆,其他,25,164.5
2026-05-28,3088,艾訊,其他,25,144.5
2026-05-28,2637,慧洋-KY,其他,25,75.9
2026-05-28,1609,大亞,其他,25,36.75
2026-05-28,6121,新普,其他,25,396.5
2026-05-28,8182,加高,其他,25,44.1
2026-05-28,2908,特力,其他,25,21.35
2026-05-28,2408,南亞科,其他,24,312.0
2026-05-28,2313,華通,其他,24,282.0
2026-05-28,1802,台玻,其他,24,72.8
2026-05-28,2345,智邦,其他,24,2620.0
2026-05-28,4979,華星光,高速傳輸,24,628.0
2026-05-28,3081,聯亞,其他,24,2885.0
2026-05-28,2368,金像電,其他,24,1375.0
2026-05-28,1717,長興,其他,24,84.5
2026-05-28,5274,信驊,其他,24,18230.0
2026-05-28,5483,中美晶,其他,24,162.0
2026-05-28,2474,可成,其他,24,208.5
2026-05-28,5351,鈺創,其他,24,82.6
2026-05-28,2467,志聖,其他,24,657.0
2026-05-28,3264,欣銓,其他,24,229.5
2026-05-28,1597,直得,其他,24,199.0
2026-05-28,1605,華新,其他,24,37.5
2026-05-28,2363,矽統,其他,24,66.8
2026-05-28,2421,建準,其他,24,162.0
2026-05-28,1727,中華化,其他,24,96.5
2026-05-28,3689,湧德,其他,24,130.5
2026-05-28,2399,映泰,其他,24,48.0
2026-05-28,8227,巨有科技,其他,24,224.5
2026-05-28,2340,台亞,其他,24,40.1
2026-05-28,8040,九暘,其他,24,113.0
2026-05-28,3221,台嘉碩,其他,24,56.4
2026-05-28,6903,巨漢,其他,24,421.5
2026-05-28,3615,安可,其他,24,47.3
2026-05-28,2338,光罩,其他,24,56.2
2026-05-28,2478,大毅,其他,24,120.0
2026-05-28,3537,堡達,其他,24,67.2
2026-05-28,3265,台星科,其他,24,189.5
2026-05-28,6245,立端,其他,24,90.6
2026-05-28,6146,耕興,其他,24,223.0
2026-05-28,6667,信紘科,其他,24,264.5
2026-05-28,6174,安碁,其他,24,46.65
2026-05-28,3498,陽程,其他,24,155.5
2026-05-28,6509,聚和,其他,24,51.2
2026-05-28,6026,福邦證,其他,24,16.45
2026-05-28,6716,應廣,其他,24,107.0
2026-05-28,8091,翔名,其他,24,269.0
2026-05-28,8390,金益鼎,其他,24,121.5
2026-05-28,1618,合機,其他,24,41.8
