代號,產業,族群,分數,5日漲幅,RSI,成交量,成交值,風險
3704,其他,其他,27,12.69,84.84,8684042,377755827,高
5269,其他,其他,27,10.43,65.29,1948154,2990416390,中
5328,其他,其他,27,15.05,74.56,31410778,1116653133,中
3491,其他,低軌衛星,27,18.52,71.3,616431,1282176480,中
4722,其他,化工,27,11.15,76.73,5215384,1481169056,高
4739,其他,化工,27,13.13,64.16,6584312,697937072,低
1810,其他,衛浴,27,8.15,65.88,11121068,221309248,中
8043,其他,其他,27,15.28,69.47,17508016,2311058112,中
8028,其他,其他,27,11.85,72.1,14353938,4471251687,中
3285,其他,其他,27,11.58,76.86,361492,11495445,高
5465,其他,其他,27,11.2,65.52,333362,8934101,中
6719,其他,其他,27,15.91,79.82,4112098,1048584990,高
2321,其他,其他,27,18.11,70.41,51569,773535,中
2049,其他,智慧製造,27,13.77,77.74,7786460,3184662140,高
3402,其他,其他,27,17.11,62.82,5138309,791299586,低
3310,其他,其他,27,11.18,67.12,1098900,84175738,中
3305,其他,其他,27,17.15,83.22,13301051,2134818685,高
3317,其他,其他,27,13.52,71.88,8405188,691746998,中
3356,其他,其他,27,6.18,68.49,2333646,152387090,中
6020,其他,其他,27,11.37,70.56,308289,7244791,中
2363,其他,其他,27,11.15,65.95,26991623,1803040498,中
2353,其他,筆電AI,27,14.39,67.37,61704879,1937533177,中
6669,其他,ODM代工,27,10.22,65.08,1927891,10815468510,中
6155,其他,其他,27,17.69,72.71,10997108,673023017,中
3035,其他,2奈米,27,13.21,70.05,29707750,6491143375,中
3036,其他,其他,27,14.42,83.39,13588407,4096904710,高
6196,其他,其他,27,18.39,77.32,1707377,829785222,高
2421,其他,散熱,27,13.29,63.74,7127737,1154693394,低
3149,其他,其他,27,10.17,76.2,41243256,2680811640,高
2423,其他,其他,27,13.62,73.38,691633,57128884,中
2425,其他,其他,27,11.79,72.54,1826347,66661665,中
6138,其他,其他,27,15.24,71.9,3001102,1066891761,中
2377,其他,筆電AI,27,15.53,74.76,31204574,3947378611,中
6139,其他,其他,27,11.93,68.12,5680124,4583860068,中
2476,其他,其他,27,13.16,67.06,8018807,1034426103,中
3008,其他,光學,27,16.87,81.71,1271411,4888575295,高
3003,其他,其他,27,3.39,65.36,1711758,104417238,中
2401,其他,其他,27,15.43,75.57,30598354,950078868,高
6220,其他,其他,27,12.4,82.61,1179754,41173416,高
6292,其他,其他,27,15.74,74.27,1333779,83361187,中
2881,金融,金融,27,14.82,77.39,92832987,10211628570,高
6443,其他,儲能櫃,27,12.78,67.91,44131813,1908700912,中
2481,其他,其他,27,10.9,82.35,72198779,10649319902,高
6412,其他,其他,27,17.65,67.35,4293011,446473144,中
6411,其他,其他,27,17.44,78.07,4610625,465673125,高
3673,其他,其他,27,15.89,72.37,33165583,2636663848,中
3663,其他,其他,27,14.38,68.24,5247818,471778846,中
3675,其他,其他,27,17.17,81.22,1797604,656125460,高
1560,其他,其他,27,19.38,71.07,2060219,1497779213,中
1583,其他,其他,27,14.23,66.26,145075,7805034,中
8201,其他,其他,27,13.52,68.97,515052,7133470,中
8477,其他,其他,26,34.74,76.98,199951,4148983,高
8121,其他,其他,26,16.48,66.4,2776603,113840723,中
1568,其他,其他,26,33.93,81.57,1409138,52842675,高
3016,其他,其他,26,19.82,64.88,2192937,291660621,低
3013,其他,機殼,26,20.3,63.83,19426495,2360319142,低
2493,其他,其他,26,22.96,60.9,10159013,1605124054,低
6218,其他,其他,26,12.06,62.3,4903378,211825933,低
