股票代號,股票名稱
700247,原相兆豐56購01
700248,撼訊國泰55購01
700249,M31富邦56購01
700250,中光電富邦57購01
700251,弘塑富邦55購02
700252,良維富邦56購01
700253,旺矽富邦57購01
700254,鈊象富邦56購02
700255,萬潤富邦56購01
700256,雙鴻富邦56購03
700257,大世科統一6A購01
700258,大綜統一6A購01
700259,光焱統一5A購02
700260,同致統一5A購01
700261,宜鼎統一6A購01
700262,尚凡*統一6A購01
700263,旺矽統一6A購01
700264,長聖統一6A購01
700265,信昌電統一58購01
700266,信昌電統一58購02
700267,建榮統一6A購01
700268,昱展統一58購06
700269,昱展統一6A購01
700270,創惟統一5A購01
700271,新鉅科統一6A購01
700272,聖暉*統一59購01
700273,優群統一6A購01
700274,鴻呈統一5A購01
700275,雙鴻統一6A購02
700276,鏵友益統一6A購01
700277,鑫聯統一5A購01
700278,大田國票55購01
700279,良維國票5C購01
700280,信昌電國票54購02
700281,信昌電國票55購01
700282,信昌電國票56購02
700283,信昌電國票57購01
700284,信音國票55購01
700285,宣德國票55購01
700286,昱展國票55購01
700287,竑騰國票55購01
700288,泰金國票55購01
700289,凱崴國票55購01
700290,華電網國票55購01
700291,新鉅科國票55購01
700292,鑫聯國票55購01
700293,光焱元富54購01
700294,同致元富54購01
700295,金山電元富54購02
700296,金山電元富54購03
700297,竑騰元富54購01
700298,宏捷科中信54購01
700299,撼訊中信54購01
700300,雙鴻中信5A購01
700301,尼克森永豐55購01
700302,光焱永豐57購01
700303,金山電永豐55購01
700304,信昌電永豐55購01
700305,宣德永豐55購01
700306,皇田永豐56購01
700307,竑騰永豐55購01
700308,新鼎永豐55購01
700309,撼訊永豐55購01
700310,中光電群益58購01
700311,立敦群益54購01
700312,同亨群益54購01
700313,同亨群益55購01
700314,合晶群益54購04
700315,東捷群益54購01
700316,信昌電群益54購01
700317,信昌電群益55購01
700318,神盾群益54購02
700319,凱崴群益54購01
700320,凱崴群益54購02
700321,凱崴群益55購01
700322,新鉅科群益54購01
700323,萬潤群益54購02
700324,鈺太群益54購01
700325,德微群益54購01
700326,撼訊群益54購01
700327,聰泰群益54購01
700328,中光電凱基54購10
700329,弘塑凱基56購03
700330,旺矽凱基5A購01
700331,昱展凱基55購01
700332,茂達凱基55購01
700333,原相凱基55購01
700334,鈊象凱基54購06
700335,撼訊凱基54購03
700336,信立國票54購01
700337,國眾國票55購01
700338,信驊國泰55購01
700339,建榮國泰55購02
700340,茂達國泰55購01
700341,原相富邦54購02
700342,大世科統一6A購02
700343,中光電統一6A購02
700344,尼克森統一5A購01
700345,立碁統一6A購01
700346,良維統一6A購01
700347,尚凡*統一5A購01
700348,昱展統一6A購02
700349,茂達統一56購03
700350,茂達統一61購01
700351,竑騰統一5A購01
700352,新鉅科統一5A購01
700353,新鉅科統一6A購02
700354,聖暉*統一6A購01
700355,撼訊統一6A購01
700356,擎亞統一6A購01
700357,聰泰統一6A購01
700358,寶島科統一64購01
700359,鏵友益統一5A購01
700360,鑫聯統一5A購02
700361,中光電元大57購04
700362,中美晶元大54購05
700363,弘塑元大54購06
700364,弘塑元大56購04
700365,良維元大54購09
700366,宜鼎元大57購02
700367,昇達科元大57購04
700368,欣銓元大54購04
700369,茂達元大54購02
700370,原相元大54購05
700371,凱崴元大54購01
700372,鈊象元大54購10
700373,金山電永豐54購01
700374,昱展永豐54購01
700375,茂達永豐54購01
700376,信立群益54購01
700377,威剛群益56購02
700378,茂達群益54購01
700379,茂達群益54購02
700380,茂達群益55購01
700381,昶瑞群益55購01
700382,家登群益55購02
700383,光焱中信57購01
700384,良維中信55購01
700385,中光電元富5A購01
700386,良維元富54購02
700387,良維元富54購03
700388,良維元富54購04
700389,威剛元富54購03
700390,建榮元富54購01
700391,凱崴元富54購01
700392,雍智元富54購01
700393,騰雲元富54購01
700394,良維兆豐56購01
700395,中光電凱基57購02
700396,光焱凱基54購01
700397,系微凱基57購01
700398,良維凱基54購05
700399,宜鼎凱基55購01
700400,原相凱基55購02
700401,訊聯凱基54購01
700402,博智凱基59購01
700403,雷科凱基54購02
700404,譜瑞凱基54購09
700405,力旺國泰55購01
700406,高技國泰55購01
700407,力旺富邦56購02
700408,信立富邦56購01
700409,威剛富邦54購01
700410,中光電統一5C購01
700411,均豪統一56購05
700412,旺矽統一6A購02
700413,金山電統一5C購01
700414,長聖統一6A購02
700415,建榮統一6A購02
700416,高技統一5A購01
700417,聰泰統一6A購02
700418,力旺元大58購01
700419,力旺元大59購01
700420,世界元大54購01
700421,宜鼎元大58購01
700422,金益鼎元大54購01
700423,原相元大54購06
700424,臺慶科元大54購01
700425,撼訊元大54購02
700426,擎亞元大54購01
700427,雙鴻元大54購20
700428,力旺群益54購01
700429,弘塑群益56購04
700430,旺矽群益56購04
700431,金山電群益54購01
700432,金山電群益54購02
700433,長聖群益54購01
700434,原相群益54購03
700435,高技群益54購01
700436,高技群益56購01
700437,鈊象群益54購05
700438,力旺元富54購05
700439,力旺元富57購02
700440,昇達科元富54購01
700441,建榮元富54購02
700442,力旺國票55購01
700443,力旺國票55購02
700444,永捷國票55購01
700445,同亨國票55購01
700446,其陽國票54購01
700447,昱展國票55購02
700448,訊聯國票55購01
700449,高技國票55購01
700450,博大國票55購01
700451,臺慶科國票5A購01
700452,同致中信56購01
700453,力旺永豐55購02
700454,中光電永豐56購02
