股票代號,股票名稱,收盤價,MA5,MA20,MA60,成交量,成交值,量MA5,RSI,5日漲幅
1445,大宇,11.8,11.8,12.09,12.67,168252,1985373,155550,43.13,2.61
1446,宏和,15.7,15.62,15.54,16.1,203798,3199628,191558,49.36,1.62
1447,力鵬,5.5,5.75,5.32,5.3,2260476,12432618,2482413,53.89,-6.62
1449,佳和,12.1,12.36,12.86,12.69,947167,11460721,1031995,39.77,-1.22
1451,年興,16.4,16.57,16.75,17.52,288410,4729923,318024,32.64,-1.8
1452,宏益,10.3,10.45,10.92,11.3,118153,1216975,104792,18.16,-2.37
1453,大將,11.3,11.33,11.47,12.0,77452,875207,53770,36.73,0.44
1454,台富,12.5,12.59,13.35,13.1,42213,527662,49162,38.91,-2.72
1455,集盛,8.12,8.11,8.12,8.56,794818,6453922,698810,43.45,-0.61
1456,怡華,13.05,12.95,13.42,13.77,94346,1231215,69073,42.86,0.77
1457,宜進,13.95,13.97,14.25,14.98,133467,1861864,178921,31.65,-1.41
1459,聯發,11.6,11.69,11.82,11.77,189893,2202758,278770,40.3,-1.28
1460,宏遠,6.87,6.94,7.04,6.98,584383,4014711,559319,40.27,-2.28
1463,強盛新,17.7,17.81,18.14,18.03,23846,422074,30390,42.33,-2.75
1464,得力,10.1,10.12,10.07,10.36,618276,6244587,541410,47.32,-0.49
1465,偉全,12.3,12.13,12.12,12.27,87343,1074318,84725,56.15,2.5
1466,聚隆,13.75,14.47,15.12,16.49,240328,3304510,168144,26.99,-6.14
1467,南緯,6.94,6.95,7.07,7.14,493568,3425361,330088,39.14,-0.14
1468,昶和,12.05,12.02,12.17,12.24,41001,494062,44850,45.77,1.26
1470,大統新創,22.0,21.92,22.01,22.37,7032,154704,9006,49.24,4.27
1471,首利,10.35,10.56,10.81,11.96,795697,8235464,628071,38.42,-0.48
1472,三洋實業,89.5,89.44,89.6,92.58,9372,838794,7532,41.91,0.79
1473,台南,20.05,20.25,20.61,22.71,247551,4963397,108206,29.3,-1.72
1474,弘裕,9.67,9.79,9.93,10.05,188998,1827610,167297,30.21,-2.62
